country,lat,long,date,cases,type
Norway,60.472,8.4689,2020-01-23,0,confirmed
Oman,21.512583,55.92325500000001,2020-01-23,0,confirmed
Pakistan,30.3753,69.3451,2020-01-23,0,confirmed
Panama,8.538,-80.7821,2020-01-23,0,confirmed
Papua New Guinea,-6.314993,143.95555,2020-01-23,0,confirmed
Paraguay,-23.4425,-58.4438,2020-01-23,0,confirmed
Peru,-9.19,-75.0152,2020-01-23,0,confirmed
Philippines,12.879721,121.774017,2020-01-23,0,confirmed
Poland,51.9194,19.1451,2020-01-23,0,confirmed
Portugal,39.3999,-8.2245,2020-01-23,0,confirmed
Qatar,25.3548,51.1839,2020-01-23,0,confirmed
